Comment,Designator,Footprint,JLCPCB Part #（optional）
2.2uF,"C17, C19, C20, ",0603,C23630
0.1uF,"C4, C5, C6, C9, C15, C16, C18, C29, ",0402,C1525
1uF,"C1, C2, C3, C10, ",0402,C52923
22uF,"C13, C14, C26, C27, C28, ",0603,C59461
47uF,"C21, C22, ",1206,C96123
6.8nF,"C23, ",0402,C1542
4.7nF,"C24, ",0402,C1538
SS54,"D1, ","SMA,DO-214AC",C22452
PSM712-LF-T7,"D2, ",SOT-23-3,C32677
SLO0530H6R8MTT,"L2, ",SMD_5.4x5.2x3mm,C325965
2N7002,"Q1, Q2, Q6, ",SOT-23-3,C8545
MMBT3904,"Q3, Q5, ",SOT-23-3,C20526
AO3401A,"Q4, ",SOT-23-3L,C15127
0,"R1, R2, R7, ",0402,C17168
10k,"R3, R4, R5, R8, R9, R10, R12, R16, ",0402,C25744
4.7k,"R6, R11, R13, ",0402,C25900
100k,"R14, R17, ",0402,C25741
330,"R15, R19, ",0402,C25104
49.9k,"R20, ",0402,C25897
1k,"R21, R22, ",0402,C11702
ESP32-PICO-D4,"U1, ",QFN-48_EP_7.0x7.0x0.5P,C193707
LM358DR2G,"U2, ",SOIC-8_3.9x4.9x1.27P,C7950
TPS54331DR,"U4, ",SOIC-8_3.9x4.9x1.27P,C9865