"Source:","C:\Users\AaronN\Desktop\Personal\PersonalProjects\LightsProject\VersionC\LightsProject_Rev_C\LightsProject_Rev_C.kicad_sch"
"Date:","2/7/2022 8:01:38 PM"
"Tool:","Eeschema (6.0.0)"
"Generator:","C:\Program Files\KiCad\bin\scripting\plugins/AaronsFavoriteBOMScript.py"
"Component Count:","75"
"Ref","Qnty","Value","Cmp name","Description","Manufacturer","Part Number"
"AE1, ","1","AMCA31-2R450G-S1F-T3","AMCA31-2R450G-S1F-T3","RF ANT 2.4GHZ CHIP SOLDER SMD","Abracon LLC","535-14095-1-ND"
"C1, C2, C3, C10, C15, ","5","1uF","1uF","CAP CER 1UF 10V X5R 0402","Samsung Electro-Mechanics","1276-1076-1-ND"
"C4, C5, C6, C9, C12, C16, C18, ","7","0.1uF","0.1uF","CAP CER 0.1UF 25V X5R 0402","Samsung Electro-Mechanics","1276-1043-1-ND"
"C11, C13, C14, C17, C19, C20, ","6","2.2uF","2.2uF","CAP CER 2.2UF 10V X5R 0603","Samsung Electro-Mechanics","1276-1085-1-ND"
"C21, C22, C23, C24, ","4","4.7uF","4.7uF","CAP CER 4.7UF 16V X5R 0603","Samsung Electro-Mechanics","1276-1784-1-ND"
"CN1, ","1","0530470510","0530470510","PICOBLADE VERT CONN HEADER VERT 5POS 1.25MM","Molex","WM1734-ND"
"CN2, ","1","2137160001","2137160001","CONN RCPT USB2.0 TYPE C 24POS RA","Molex","900-2137160001CT-ND"
"CN3, ","1","S2B-PH-SM4-TB(LF)(SN)","S2B-PH-SM4-TB(LF)(SN)","JST PH R/A CONN HEADER SMD R/A 2POS 2MM","JST Sales America Inc.","455-1749-1-ND"
"L1, ","1","LQG15HS2N7S02D","LQG15HS2N7S02D","FIXED IND 2.7NH 800MA 150MOHM SM","Murata Electronics","490-2615-1-ND"
"LED1, LED2, LED3, LED4, LED5, LED6, LED8, ","7","NCD0805R1","NCD0805R1","JLCPCB LED RED DIFFUSED 0805 SMD","Foshan NationStar Optoelectronics","C84256"
"LED7, ","1","Y2C-CQ2R2L","Y2C-CQ2R2L","JLCPCB LED YELLOW DIFFUSED 0603 SMD","Everlight Elec","C72038"
"Q1, Q2, ","2","MMBT3904","MMBT3904","JLCPCB 0.2W 0.2A NPN 40V SOT-23(SOT-23-3) Bipolar Transistors - BJT ROHS","Changjiang Electronics Tech (CJ)","C20526"
"Q3, ","1","2N7002","2N7002","JLCPCB MOSFET N-CH 60V 115MA SOT-23","Changjiang Electronics Tech (CJ)","C8545"
"R1, R4, R6, R13, R14, R15, R16, ","7","4.7k","4.7k","RES 4.7K OHM 1% 1/16W 0402","Stackpole Electronics Inc","RMCF0402FT4K70CT-ND"
"R2, R3, R19, R20, R27, ","5","0","0","RES 0 OHM JUMPER 1/16W 0402","Stackpole Electronics Inc","RMCF0402ZT0R00CT-ND"
"R5, R11, R12, ","3","10k","10k","RES 10K OHM 1% 1/16W 0402","Stackpole Electronics Inc","RMCF0402FT10K0CT-ND"
"R7, R8, R9, R10, R22, R26, ","6","330","330","RES 330 OHM 1% 1/16W 0402","YAGEO","311-330LRCT-ND"
"R17, R18, ","2","5.1k","5.1k","RES 5.1K OHM 1% 1/16W 0402","YAGEO","311-5.10KLRCT-ND"
"R21, ","1","100k","100k","RES SMD 100 KOHM 1% 1/16W 0402","Delta Electronics/Cyntec","2037-PFR05S-104-FNHCT-ND"
"R23, R25, ","2","1.5k","1.5k","RES 1.5K OHM 1% 1/16W 0402","Stackpole Electronics Inc","RMCF0402FT1K50CT-ND"
"R24, ","1","1.2k","1.2k","RES SMD 1.2K OHM 1% 1/16W 0402","YAGEO","YAG3447CT-ND"
"SW1, SW2, SW3, SW4, ","4","FSM2JSMAA","FSM2JSMAA","SMD Momentary PushButton","FSM2JSMAA","450-3355-ND"
"U1, ","1","ESP32-PICO-D4","ESP32-PICO-D4","","Espressif Systems","1904-1029-1-ND"
"U2, ","1","CAP1114-1-EZK-TR","CAP1114-1-EZK-TR","IC TOUCH SENSOR/LED DRVR 32VQFN","Ologic","Ologic"
"U3, ","1","CP2102-GMR","CP2102-GMR","JLCPCB IC USB-TO-UART BRIDGE 28VQFN","CP2102-GMR","IC USB-TO-UART BRIDGE 28VQFN"
"U4, ","1","SRV05-4-P-T7","SRV05-4-P-T7","JLCPCB 1A@80/20Î¼s 12V 6V 5V SOT-23-6 TVS ROHS","JLCPCB","C85364"
"U5, ","1","MCP1826T-3302E_DC","MCP1826T-3302E_DC","IC REG LINEAR 3.3V 1A SOT223-5","Microchip Technology","Ologic"
"U6, ","1","TP4056-42-ESOP8","TP4056-42-ESOP8","JLCPCB 1 Li-Ion Charger ESOP-8 Battery Management ICs ROHS","JLCPCB","C16581"
